session_id,log_file,turn_number,is_cold_start,total_latency_ms,concept_id,persona_id,methodology,ContextLoadingStage,UtteranceSavingStage,SRLPreprocessingStage,ExtractionStage,GraphUpdateStage,SlotDiscoveryStage,StateComputationStage,StrategySelectionStage,ContinuationStage,QuestionGenerationStage,ResponseSavingStage,ScoringPersistenceStage
73e1cfba-7b6f-4f09-a276-eca94e699ddb,interview_20260417_160309.log,2,False,34200.0,glp1_food_jtbd,brief_responder,jobs_to_be_done_v2,4.72,3.04,19.12,19750.58,111.15,5065.21,4.26,7738.11,0.17,1467.04,5.27,30.22
73e1cfba-7b6f-4f09-a276-eca94e699ddb,interview_20260417_160309.log,3,False,24875.0,glp1_food_jtbd,brief_responder,jobs_to_be_done_v2,3.34,2.92,15.51,14035.01,92.94,3873.54,3.43,5188.75,0.15,1644.51,4.83,9.39
73e1cfba-7b6f-4f09-a276-eca94e699ddb,interview_20260417_160309.log,4,False,25224.0,glp1_food_jtbd,brief_responder,jobs_to_be_done_v2,4.18,3.92,12.88,14870.18,82.33,5575.95,3.38,3752.09,0.23,885.14,7.47,25.22
73e1cfba-7b6f-4f09-a276-eca94e699ddb,interview_20260417_160309.log,5,False,26000.0,glp1_food_jtbd,brief_responder,jobs_to_be_done_v2,3.97,3.51,26.67,14322.97,73.31,6348.32,4.65,4346.96,0.12,854.23,4.17,10.65
73e1cfba-7b6f-4f09-a276-eca94e699ddb,interview_20260417_160309.log,6,False,21404.0,glp1_food_jtbd,brief_responder,jobs_to_be_done_v2,4.56,3.37,15.46,12796.96,66.89,2964.57,4.25,4633.81,0.15,896.27,6.63,10.23
73e1cfba-7b6f-4f09-a276-eca94e699ddb,interview_20260417_160309.log,7,False,17150.0,glp1_food_jtbd,brief_responder,jobs_to_be_done_v2,5.24,3.16,13.46,10046.34,44.77,2633.45,4.3,3428.73,0.15,939.71,4.72,24.79
73e1cfba-7b6f-4f09-a276-eca94e699ddb,interview_20260417_160309.log,8,False,17572.0,glp1_food_jtbd,brief_responder,jobs_to_be_done_v2,6.0,3.79,11.92,10143.33,42.12,1622.56,5.68,4005.79,0.17,1715.16,3.41,11.12
73e1cfba-7b6f-4f09-a276-eca94e699ddb,interview_20260417_160309.log,9,False,23282.0,glp1_food_jtbd,brief_responder,jobs_to_be_done_v2,4.94,2.86,15.47,13028.88,57.48,4390.88,4.39,4718.92,0.25,1044.09,3.12,10.5
73e1cfba-7b6f-4f09-a276-eca94e699ddb,interview_20260417_160309.log,10,False,17969.0,glp1_food_jtbd,brief_responder,jobs_to_be_done_v2,4.57,3.83,11.29,11067.71,52.55,3223.01,5.14,3583.34,0.22,0.06,6.64,9.55
d933947d-1cdd-4a3a-812b-cc2ef1bc5bd9,interview_20260423_114814.log,1,True,29855.0,zerofizz_beverage_mec,baseline_cooperative,means_end_chain_v2_strict,5.17,4.21,2902.31,8407.06,8916.47,4050.15,3.26,4255.65,0.2,1292.85,3.81,12.51
d933947d-1cdd-4a3a-812b-cc2ef1bc5bd9,interview_20260423_114814.log,2,False,15249.0,zerofizz_beverage_mec,baseline_cooperative,means_end_chain_v2_strict,3.76,4.85,7.09,8480.5,73.39,2608.27,2.98,2940.07,0.2,1109.61,4.85,12.82
d933947d-1cdd-4a3a-812b-cc2ef1bc5bd9,interview_20260423_114814.log,3,False,21325.0,zerofizz_beverage_mec,baseline_cooperative,means_end_chain_v2_strict,3.91,2.79,8.03,12611.84,141.07,3275.71,3.89,4050.43,0.16,1210.68,3.22,12.25
d933947d-1cdd-4a3a-812b-cc2ef1bc5bd9,interview_20260423_114814.log,4,False,22063.0,zerofizz_beverage_mec,baseline_cooperative,means_end_chain_v2_strict,4.45,3.83,13.33,13905.5,81.65,3006.5,3.46,3820.42,0.16,1200.37,11.16,11.42
d933947d-1cdd-4a3a-812b-cc2ef1bc5bd9,interview_20260423_114814.log,5,False,20152.0,zerofizz_beverage_mec,baseline_cooperative,means_end_chain_v2_strict,4.05,4.4,10.82,11730.27,74.48,3547.21,3.74,4762.84,0.18,0.06,3.62,10.02
